Name	Study	CellType
B.IFNg.2hr.Sp#3	GSE112876	B cells
B1a.IFNg.2hr.PC#3	GSE112876	B cells
MF.IFNg.2hr.PC#3	GSE112876	Macrophages
NK.IFNg.2hr.Sp#3	GSE112876	NK cells
T4.IFNg.2hr.Sp#3	GSE112876	CD4 T cells
T8.IFNg.2hr.Sp#3	GSE112876	CD8 T cells
Tgd.IFNg.2hr.Sp#3	GSE112876	gd T cells
Treg.IFNg.2hr.Sp#3	GSE112876	Treg cells
ABD.TR.14w.B6#3	GSE15907	Treg cells
B.Fo.MLN#3	GSE15907	B cells
B.Fo.PC#3	GSE15907	B cells
B.Fo.Sp#3	GSE15907	B cells
B.FrE.BM#3	GSE15907	B cells
B.FrE.FL#3	GSE15907	B cells
B.FrF.BM#3	GSE15907	B cells
B.GC.Sp#3	GSE15907	B cells
B.MZ.Sp#3	GSE15907	B cells
B.T1.Sp#3	GSE15907	B cells
B.T2.Sp#3	GSE15907	B cells
B.T3.Sp#3	GSE15907	B cells
B1a.PC#3	GSE15907	B cells
B1a.Sp#3	GSE15907	B cells
B1b.PC#3	GSE15907	B cells
BEC.MLN#3	GSE15907	Stromal cells
BEC.SLN.OT#3	GSE15907	Stromal cells
BEC.SLN#3	GSE15907	Stromal cells
CD4TESTCJ#3	GSE15907	CD4 T cells
CD4TESTJS#3	GSE15907	CD4 T cells
DC.103-11b+F4/80lo.Kd#3	GSE15907	Dendritic Cells
DC.103+11b-.Lu#3	GSE15907	Dendritic Cells
DC.4+.MLN#3	GSE15907	Dendritic Cells
DC.4+.SLN#3	GSE15907	Dendritic Cells
DC.8-.Th#3	GSE15907	Dendritic Cells
DC.8-4-11b-.MLN#3	GSE15907	Dendritic Cells
DC.8-4-11b-.SLN#3	GSE15907	Dendritic Cells
DC.8-4-11b+.MLN#3	GSE15907	Dendritic Cells
DC.8-4-11b+.SLN#3	GSE15907	Dendritic Cells
DC.8-4-11b+.Sp#3	GSE15907	Dendritic Cells
DC.8+.MLN#3	GSE15907	Dendritic Cells
DC.8+.SLN#3	GSE15907	Dendritic Cells
DC.8+.Th#3	GSE15907	Dendritic Cells
DC.IIhilang-103-11b+.SLN#3	GSE15907	Dendritic Cells
DC.IIhilang-103-11blo.SLN#3	GSE15907	Dendritic Cells
DC.IIhilang+103-11b+.SLN#3	GSE15907	Dendritic Cells
DC.IIhilang+103+11blo.SLN#3	GSE15907	Dendritic Cells
DC.pDC.8-.Sp#3	GSE15907	Dendritic Cells
DC.pDC.8+.SLN#3	GSE15907	Dendritic Cells
DC.pDC.8+.Sp#3	GSE15907	Dendritic Cells
Ep.MEChi.Th#3	GSE15907	CD45- EpCAm+ Ly51- MHCIIhi
Fi.MTS15+.Th#3	GSE15907	Fibroblast
Fi.Sk#3	GSE15907	Fibroblast
FRC.MLN#3	GSE15907	Fibroblast
FRC.SLN.OT#3	GSE15907	Fibroblast
FRC.SLN#3	GSE15907	Fibroblast
GN.Arth.BM#3	GSE15907	Granulocytes
GN.Arth.SynF#3	GSE15907	Granulocytes
GN.Bl#3	GSE15907	Granulocytes
GN.BM#3	GSE15907	Granulocytes
GN.Thio.PC#3	GSE15907	Granulocytes
GN.UrAc.PC#3	GSE15907	Granulocytes
LEC.MLN#3	GSE15907	LN
LEC.SLN.OT#3	GSE15907	LN
LEC.SLN#3	GSE15907	LN
LN.TR.14w.B6#3	GSE15907	LN
MF.103-11b+.Salm3.SI#3	GSE15907	Macrophages
MF.103-11b+.SI#3	GSE15907	Macrophages
MF.11cloSer.Salm3.SI#3	GSE15907	Macrophages
MF.11cloSer.SI#3	GSE15907	Macrophages
MF.BM#3	GSE15907	Macrophages
MF.II-480hi.PC#3	GSE15907	Macrophages
MF.II+480lo.PC#3	GSE15907	Macrophages
MF.Lu#3	GSE15907	Macrophages
MF.Microglia.CNS#3	GSE15907	Macrophages
MF.PPAR-.Lu#3	GSE15907	Macrophages
MF.RP.Sp#3	GSE15907	Macrophages
MF.Sbcaps.SLN#3	GSE15907	Macrophages
MF.Thio5.II-480hi.PC#3	GSE15907	Macrophages
MF.Thio5.II-480int.PC#3	GSE15907	Macrophages
MF.Thio5.II+480int.PC#3	GSE15907	Macrophages
MF.Thio5.II+480lo.PC#3	GSE15907	Macrophages
MLP.BM#3	GSE15907	MLP
MLP.FL#3	GSE15907	MLP
Mo.6C-II-.Bl#3	GSE15907	Monocytes
Mo.6C-II-.BM#3	GSE15907	Monocytes
Mo.6C-IIint.Bl#3	GSE15907	Monocytes
Mo.6C+II-.Bl#3	GSE15907	Monocytes
Mo.6C+II-.BM#3	GSE15907	Monocytes
Mo.6C+II-.LN#3	GSE15907	Monocytes
Mo.6C+II+.Bl#3	GSE15907	Monocytes
NK.49CI-.Sp#3	GSE15907	NK cells
NK.49CI+.Sp#3	GSE15907	NK cells
NK.b2m-.Sp#3	GSE15907	NK cells
NK.DAP10-.Sp#3	GSE15907	NK cells
NK.DAP12-.Sp#3	GSE15907	NK cells
NK.H+.MCMV1.Sp#3	GSE15907	NK cells
NK.H+.MCMV7.Sp#3	GSE15907	NK cells
NK.MCMV1.Sp#3	GSE15907	NK cells
NK.MCMV7.Sp#3	GSE15907	NK cells
NKT.4-.Lv#3	GSE15907	NKT cells
NKT.4-.Sp#3	GSE15907	NKT cells
NKT.4+.Lv#3	GSE15907	NKT cells
NKT.4+.Sp#3	GSE15907	NKT cells
NKT.44+NK1.1-.Th#3	GSE15907	NKT cells
preB.FrC.BM#3	GSE15907	precursor B cells
preB.FrD.BM#3	GSE15907	precursor B cells
preB.FrD.FL#3	GSE15907	precursor B cells
preT.DN2-3.Th#3	GSE15907	precursor T cells
preT.DN3-4.Th#3	GSE15907	precursor T cells
preT.DN3A.Th#3	GSE15907	precursor T cells
preT.DN3B.Th#3	GSE15907	precursor T cells
preT.ETP-2A.Th#3	GSE15907	precursor T cells
proB.CLP.FL#3	GSE15907	progenitor B cells
proB.FrA.FL#3	GSE15907	progenitor B cells
proB.FrBC.FL#3	GSE15907	progenitor B cells
SC.CDP.BM#3	GSE15907	Stem cells
SC.GMP.BM#3	GSE15907	Stem cells
SC.LTSL.BM#3	GSE15907	Stem cells
SC.LTSL.FL#3	GSE15907	Stem cells
SC.MDP.BM#3	GSE15907	Stem cells
SC.STSL.BM#3	GSE15907	Stem cells
SC.STSL.FL#3	GSE15907	Stem cells
St.31-38-44-.SLN#3	GSE15907	Stromal cells
T.4.LN.BDC#3	GSE15907	CD4 T cells
T.4FP3-.Sp#3	GSE15907	CD4 T cells
T.4FP3+25+.Sp#3	GSE15907	CD4 T cells
T.4int8+.Th#3	GSE15907	CD4 T cells
T.4Mem.LN#3	GSE15907	CD4 T cells
T.4Mem44h62l.LN#3	GSE15907	CD4 T cells
T.4Mem44h62l.Sp#3	GSE15907	CD4 T cells
T.4Nve.LN#3	GSE15907	CD4 T cells
T.4Nve.MLN#3	GSE15907	CD4 T cells
T.4SP24-.Th#3	GSE15907	CD4 T cells
T.4SP24int.Th#3	GSE15907	CD4 T cells
T.4SP69+.Th#3	GSE15907	CD4 T cells
T.8Eff.Sp.OT1.12hr.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.24hr.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d10.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d15.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d15.VSVOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d6.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d6.VSVOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d8.LisOva#3	GSE15907	CD8 T cells
T.8Eff.Sp.OT1.d8.VSVOva#3	GSE15907	CD8 T cells
T.8Mem.LN#3	GSE15907	CD8 T cells
T.8Mem.Sp.OT1.d100.LisOva#3	GSE15907	CD8 T cells
T.8Mem.Sp.OT1.d106.VSVOva#3	GSE15907	CD8 T cells
T.8Mem.Sp.OT1.d45.LisOva#3	GSE15907	CD8 T cells
T.8Mem.Sp.OT1.d45.VSVOva#3	GSE15907	CD8 T cells
T.8Mem.Sp#3	GSE15907	CD8 T cells
T.8Nve.LN#3	GSE15907	CD8 T cells
T.8Nve.MLN#3	GSE15907	CD8 T cells
T.8Nve.Sp.OT1#3	GSE15907	CD8 T cells
T.8Nve.Sp#3	GSE15907	CD8 T cells
T.8SP24-.Th#3	GSE15907	CD8 T cells
T.8SP24int.Th#3	GSE15907	CD8 T cells
T.8SP69+.Th#3	GSE15907	CD8 T cells
T.DP.Th#3	GSE15907	DP T cells
T.DP69+.Th#3	GSE15907	DP T cells
T.DPbl.Th#3	GSE15907	DP T cells
T.DPsm.Th#3	GSE15907	DP T cells
T.ISP.Th#3	GSE15907	ISP T cells
Tgd.Sp#3	GSE15907	gd T cells
Tgd.Th#3	GSE15907	gd T cells
Tgd.vg1+vd6-24ahi.Th#3	GSE15907	gd T cells
Tgd.vg1+vd6+24ahi.Th#3	GSE15907	gd T cells
Tgd.vg1+vd6+24alo.Th#3	GSE15907	gd T cells
Tgd.vg2-.act.Sp#3	GSE15907	gd T cells
Tgd.vg2-.Sp.TCRbko#3	GSE15907	gd T cells
Tgd.vg2-.Sp#3	GSE15907	gd T cells
Tgd.vg2+.act.Sp#3	GSE15907	gd T cells
Tgd.vg2+.Sp.TCRbko#3	GSE15907	gd T cells
Tgd.vg2+24ahi.e17.Th#3	GSE15907	gd T cells
Tgd.vg2+24ahi.Th#3	GSE15907	gd T cells
Tgd.vg3+24ahi.e17.Th#3	GSE15907	gd T cells
Tgd.vg3+24alo.e17.Th#3	GSE15907	gd T cells
Tgd.vg5-.act.IEL#3	GSE15907	gd T cells
Tgd.vg5+.act.IEL#3	GSE15907	gd T cells
B.Mem.Sp.v2#3	GSE37448	B cells
BA.Bl#3	GSE37448	B cells
BA.Sp#3	GSE37448	B cells
DC.11b-.AT.v2#3	GSE37448	Dendritic cells
DC.11b+.AT.v2#3	GSE37448	Dendritic cells
Eo.BL.v2#3	GSE37448	Eosinophils
ILC1.CD127+.SI#3	GSE37448	ILC
ILC1.CD127+.Sp#3	GSE37448	ILC
ILC1.CD49b-.Lv#3	GSE37448	ILC
ILC2.SI#3	GSE37448	ILC
ILC3.NKp46+.Rorgthi.SI#3	GSE37448	ILC
MC.PC#3	GSE37448	Mast cells
MC.Sk#3	GSE37448	Mast cells
MC.Tr#3	GSE37448	Mast cells
