Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
A1BG-AS1	50	104	150	100	279	184	400	300	254	11926	15052	16875	9107	9334
A4GALT	8397	10124	10924	14111	11594	17258	8858	7683	9289	5777	9055	8443	6245	5374
AAAS	27848	32981	34332	34061	32889	34040	37834	34293	38556	82007	100419	99693	90476	77347
AACS	16081	14348	18644	37454	31668	32485	13160	15360	19237	69773	82944	90480	66114	58223
AADAT	2399	3577	4545	2518	2451	2123	2421	3294	3107	10075	8990	11047	9566	10986
AAED1	12611	12748	15219	16929	14315	14504	17494	19694	19796	20335	25489	19241	19601	21206
AAGAB	26354	30045	33675	31783	32274	33155	32206	35321	41047	105045	98729	86747	105278	102150
AAK1	25788	23115	28658	36184	35804	34252	33015	60575	83313	47216	52357	49673	41048	44056
AAMDC	1650	3204	2313	1788	2488	1946	3869	2824	3121	14733	17730	13469	10492	9662
AAMP	43515	46631	50492	58324	57678	61455	52863	43546	51733	198234	212131	190557	200811	162516
AAR2	27862	29183	36024	35306	27866	31689	31815	28310	34766	65664	99111	118045	90344	75164
AARS	125962	130069	148511	171120	165732	174532	427277	441766	517841	173939	213921	366976	426155	388160
AARS2	13836	12422	14225	14651	11573	16166	12179	10289	12668	74088	96697	91090	86120	72579
AARSD1	15137	15554	17150	16180	13889	18190	22701	17595	23347	27963	35743	50511	44541	38397
AASDH	5839	4325	7254	4513	5062	4494	5044	6281	5340	4634	6026	7174	6249	7091
AASDHPPT	24415	25628	30965	22944	21638	20558	20173	29735	31670	56556	54051	60100	70708	76167
AASS	395	641	814	444	393	395	350	702	570	11999	15303	20149	20024	22071
ABCA11P	3621	3910	4048	3403	4197	2977	5997	6680	8029	2304	4070	4518	6324	5844
ABCA2	59013	56299	68574	54551	55200	52130	26157	30954	41259	116359	123615	44071	37208	36145
ABCA3	46431	41622	48687	40228	33753	37968	28812	33285	37749	97913	103765	31763	29151	25247
ABCA5	2341	2582	2274	3857	3237	3464	3836	4742	4660	8585	12857	16910	13074	15576
ABCA7	9855	12767	13061	20432	17983	20192	11240	9886	13556	43602	58910	37860	21388	23582
ABCB1	4115	4408	5396	4508	4047	3987	4672	4892	4778	18463	19807	23078	24344	27360
ABCB10	25518	25636	31948	21764	20704	22795	12730	17756	21312	55078	41693	35370	35762	40756
ABCB6	16443	16989	18361	32097	28625	31439	53195	43687	55871	26372	23983	16858	16554	14879
ABCB7	25152	25460	31028	27479	23164	25805	16731	18423	22525	24529	26266	27323	28438	31642
ABCB8	6001	6633	7774	10638	8512	10764	9278	7113	8326	53669	52471	52025	55863	51036
ABCB9	13164	12376	13948	16390	12577	15700	17913	14895	17051	76233	87284	75502	67238	58188
ABCC10	6005	5740	7025	7463	6386	7338	8332	8412	10366	49539	67194	50753	39237	39424
ABCC4	25912	29413	36290	35392	33295	28646	10419	14825	17108	23756	27786	26181	21124	25290
ABCC5	9883	11896	13498	8889	8337	6287	5110	9703	9835	41595	48749	42616	34770	33167
ABCD1	65503	70060	77091	83136	74139	86504	47561	36752	46516	18044	25348	17995	14270	12973
ABCD3	60789	66451	81828	93887	86431	83315	46790	61654	64745	50082	45279	34754	54779	57887
ABCD4	7202	7979	8299	7541	7109	6879	15475	12950	15673	40573	64338	67861	43228	43254
ABCE1	86125	94579	109549	101386	91018	93235	70149	76792	85048	21761	26157	25323	45799	46843
ABCF2	53170	61198	66196	47888	44155	44559	51583	55439	61003	136997	161216	177305	175859	157359
ABCF3	45114	43067	51987	66515	57452	65959	63611	57401	71103	27633	37188	57696	41509	39868
ABCG1	22885	24013	26667	28281	27374	28956	40857	47372	53339	4815	4308	5570	2267	2274
ABCG2	1275	1430	1582	6990	6907	6254	1533	1016	1525	1453	1535	1095	1962	2118
ABHD10	19585	19654	22352	28004	28902	30500	13346	17582	19034	23173	23160	24214	21651	25219
ABHD11	4248	4975	5407	5434	5331	5119	5921	4997	5759	18605	21583	32905	23279	19328
ABHD12	21447	21955	21861	31914	26964	34766	32614	25676	27642	93562	132351	111020	91470	81956
ABHD13	9979	10735	12890	10138	11989	10279	11842	16736	17092	11332	11429	14254	14435	18573
ABHD14A	9011	10818	12013	11590	9530	9982	10628	6704	8628	10423	14334	10019	7486	6851
ABHD14A-ACY1	14759	15248	16835	16051	14249	13563	18915	15362	17884	19212	26616	25252	18445	15478
ABHD14B	20543	22587	26269	20778	18274	19168	25062	18676	21815	12364	18135	11140	10953	9233
ABHD15	11034	9592	12231	8906	8780	8622	8175	9745	11952	67120	64540	45388	39558	35216
ABHD17B	16012	15683	20490	14899	15060	14908	12177	14478	17714	31754	40265	42757	41809	45909
ABHD17C	13570	13567	15682	12765	12884	10778	10816	11870	13542	50823	39718	28918	31113	30300
ABHD18	7361	9972	10465	9906	7573	7288	8746	10899	12574	8802	11032	12719	8954	10263
ABHD2	34340	36087	38432	41288	36798	35544	30029	59959	67163	179924	166280	124065	133603	139625
ABHD3	6385	6904	7129	4682	4093	4256	6611	6520	7183	25148	24145	17070	24447	27125
ABHD4	5286	5991	6288	13922	12512	12044	29012	24613	35513	15003	25210	32352	17914	21259
ABHD5	11494	11811	15103	14186	14528	13155	13382	15668	18575	11937	13108	11704	12266	12194
ABHD6	8486	8317	9523	7228	6711	5433	7864	8381	10254	7717	9117	8195	7460	8946
ABHD8	7441	8777	8277	11648	9931	11691	18805	12585	15681	74321	82992	66787	57114	51217
ABI1	29830	32213	41717	35749	29700	33117	34355	44370	52236	39796	39684	36116	46207	48380
ABI2	81225	77119	92123	76660	71622	69889	55729	82830	104813	113250	121484	111598	106067	112217
ABL1	120984	124966	150366	127538	113611	118550	110686	145910	184556	203297	280339	305462	272848	231158
ABL2	39127	33999	46188	40411	35668	35472	31893	59343	82522	93494	77218	87121	73763	81217
ABLIM1	120704	118729	150589	122987	109539	109828	70092	121933	142690	107049	142558	133220	119389	125252
ABLIM2	50	150	100	100	150	200	200	49	250	1279	998	2129	1299	1520
ABR	67662	72851	81089	81042	80291	79472	31622	38519	46122	5740	5437	3512	3202	3216
ABRACL	11755	10061	14621	17061	13736	15476	11550	9815	11291	42734	48843	23993	30557	31585
ABT1	15101	15986	17488	18954	14648	19439	16236	14106	18648	79690	90085	86299	81720	69908
ABTB1	13326	13556	13912	35962	33706	37454	27900	22605	28391	13291	21535	21243	12739	13556
ABTB2	7449	5581	7193	5402	4816	5862	6409	6119	9297	28640	29489	35197	37884	29788
AC000068.10	2792	3282	3477	4704	4033	3321	5944	3858	3945	7315	9606	8902	8885	7808
AC000068.5	350	300	272	250	323	583	329	454	492	2625	4017	4602	3090	2842
AC002056.3	4487	5478	5551	4529	4168	6012	7709	6622	6362	1686	2226	1421	1770	1526
AC002116.7	519	333	803	1015	550	750	590	550	781	5170	4397	4014	4366	4775
AC002116.8	1828	1544	1957	1348	1261	1972	5381	3916	3027	43098	38571	35761	39161	33750
AC002310.11	2470	2902	4388	3006	3473	3123	4005	4619	5744	21223	32153	39870	28114	26005
AC002310.12	1843	1350	1917	1554	1261	2147	2114	2263	2718	3294	5303	5372	3482	3726
AC002310.7	926	1215	798	2139	1553	1451	550	800	1567	1248	3789	3665	1309	1395
AC002398.11	1155	1512	2727	3521	2483	2734	3774	3337	4758	19885	15833	29781	30803	26892
AC002398.9	6806	6257	8168	11625	11202	10043	14438	11655	15466	76325	67606	89017	107233	88623
AC002454.1	219	150	163	145	62	50	150	185	250	1771	997	926	1164	920
AC002467.7	225	149	100	150	250	438	736	578	457	3101	3259	2671	2915	2595
AC002550.5	8960	7849	10855	7495	8223	8430	6638	7448	9660	19199	22782	27164	24001	20635
AC003075.4	702	1081	975	885	1155	1449	550	777	539	1516	2278	2447	2299	2296
AC004076.7	978	1418	1280	1273	1132	1172	2329	1775	2080	5013	5842	7087	4508	5255
AC004381.6	3104	4329	4742	3845	3549	5265	5982	5168	6620	14562	16932	22542	15930	16323
AC004453.8	104923	115346	141513	136062	112653	104796	184145	135333	154383	104900	132385	119344	109278	88868
AC004540.4	308	274	242	161	255	194	92	252	115	3359	3551	2990	3330	3996
AC004754.3	18756	18891	22726	21425	18772	18693	22849	24205	30449	71466	81023	58584	66222	53552
AC004893.11	3647	2064	2350	2742	2519	2735	2814	2814	3627	9806	11460	11587	9832	10325
AC004967.7	1182	732	1671	1881	970	1343	1337	1618	1347	2963	3089	2923	2636	3349
AC005037.3	567	656	105	662	734	1016	346	500	857	2950	2893	3399	3413	4949
AC005076.5	450	450	591	550	600	585	400	350	389	1158	1624	1906	1274	1914
AC005154.6	2442	2200	3681	3750	2133	3027	3717	4279	6412	11036	14709	15259	16243	16753
AC005253.2	467	539	750	388	454	557	496	410	944	18098	20302	13238	12006	9446
AC005253.4	7786	6329	8923	11257	10013	10733	11729	9601	9201	45189	56052	41423	38630	35031
AC005262.2	3442	3827	4154	3042	3697	4900	1567	2355	2821	26486	27367	17847	21952	17182
AC005306.3	890	1240	1226	1022	769	750	944	826	870	30330	32581	26826	26997	21553
AC005324.8	2976	2905	2740	2648	2582	2772	1894	3745	4491	7799	7735	9858	8742	9863
AC005329.7	6784	7888	8062	7529	5446	5963	14158	6631	8627	53231	57518	43112	43553	39765
AC005523.2	17235	17820	18786	18780	16364	18687	18817	19433	22531	98642	115311	121190	128184	104253
AC005538.3	4534	5952	6532	5321	5037	4637	5755	8003	8996	5945	6837	5945	8347	9194
AC005540.3	2103	2300	2870	2003	1655	2712	435	1103	1697	10974	6204	8323	5853	7191
AC005562.1	5896	6947	8951	13212	10682	10282	9922	12715	14471	14881	14885	17615	15863	17255
AC005606.14	1749	2764	2173	2324	1791	2883	3124	2116	2275	10991	15013	17831	14211	14976
AC005606.15	7348	9443	8781	8706	8400	8122	11020	8616	7577	15385	17700	18504	17817	15964
AC005614.5	628	384	665	791	265	1055	849	584	912	2833	2840	3359	3195	3878
AC005775.2	442	580	600	631	643	564	650	550	426	9630	11346	10316	10413	8400
AC005785.2	4849	5754	5236	5761	6170	7655	6924	4471	4495	13351	14866	17451	13564	14093
AC005786.7	3479	4633	5522	6632	5726	7404	13909	7963	11771	8297	11521	8601	5787	5976
AC005822.1	13339	14299	17120	12084	10955	11786	7598	11176	12837	3157	3061	4223	3961	4554
AC005943.2	22782	23345	28830	29370	25478	26625	29206	20292	26256	210782	239656	163869	169656	144316
AC005944.2	28216	34700	37738	25247	23497	35281	31991	20171	23802	70128	75149	44465	42196	35413
