GDA	Gda
SCN3A	Scn3a
SCN3B	Scn3b
RPLP2	Rplp2
GFER	Gfer
PIP5KL1	Pip5kl1
BTBD1	Btbd1
RPLP0	Rplp0
BTBD2	Btbd2
BTBD3	Btbd3
RPLP1	Rplp1
ATP8	mt-Atp8
ATP6	ATP6
TMEFF2	Tmeff2
ACAA2	Acaa2
TMEFF1	Tmeff1
TFPT	Tfpt
SCN2B	Scn2b
CYSRT1	Cysrt1
BARHL1	Barhl1
SCN2A	Scn2a1
BARHL2	Barhl2
UGCG	Ugcg
BTBD7	Btbd7
BTBD6	Btbd6
GEM	Gem
BTBD9	Btbd9
BTBD8	Btbd8
OR1S1	Olfr1496
TAGLN	Tagln
HSD11B1	Hsd11b1
TFPI	Tfpi
HSD11B2	Hsd11b2
ACAA1	Acaa1a
SCN1A	Scn1a
RALGPS2	Ralgps2
RALGPS1	Ralgps1
SCN1B	Scn1b
T	T
ATN1	Atn1
GFY	Gfy
FAIM	Faim
PPAPDC1B	Ppapdc1b
GGH	Ggh
ACACA	Acaca
OR1Q1	Olfr357
PPAPDC1A	Ppapdc1a
ZSCAN4	Zscan4d
ACACB	Acacb
SULT6B1	Sult6b1
ZSCAN2	Zscan2
GGN	Ggn
GH1	Gh
GNGT1	Gngt1
GNGT2	Gngt2
UBTFL1	Ubtfl1
PARP9	Parp9
PARP8	Parp8
POP1	Pop1
PARP6	Parp6
PARP3	Parp3
PARP4	Parp4
POP4	Pop4
ACAD11	Acad11
PARP1	Parp1
POP5	Pop5
ACAD10	Acad10
PARP2	Parp2
SPATA6L	4430402I18Rik
POP7	Pop7
GFAP	Gfap
BCKDK	Bckdk
PCED1A	Pced1a
PCED1B	Pced1b
CFAP36	Cfap36
MGRN1	Mgrn1
ANP32A	Anp32a
AMY2A	Amy2a4
GHR	Ghr
PARVG	Parvg
GIP	Gip
MTERF	Mterf
AIFM3	Aifm3
AIFM2	Aifm2
ANP32B	Anp32b
AIFM1	Aifm1
ANP32E	Anp32e
SLC3A2	Slc3a2
WASHC1	Washc1
GIF	Gif
WASHC3	Washc3
CCT6A	Cct6a
SLC3A1	Slc3a1
BRWD3	Brwd3
BRWD1	Brwd1
WASHC5	Washc5
WASHC4	Washc4
FANCD2	Fancd2
CFAP20	Cfap20
AMY1C	Amy1
PARVB	Parvb
PARVA	Parva
SPATA46	Spata46
SCML4	Scml4
SPATA45	Spata45
PTOV1	Ptov1
ECEL1	Ecel1
GK2	Gk2
ATP5J2-PTCD1	Ptcd1
SCML2	Scml2
UGDH	Ugdh
OFCC1	Ofcc1
POT1	Pot1a
CFAP52	Cfap52
CFAP54	Cfap54
CFAP53	Cfap53
FAN1	Fan1
CCT6B	Cct6b
DOM3Z	Dom3z
CFAP58	Cfap58
CFAP57	Cfap57
PARS2	Pars2
DHCR7	Dhcr7
GK5	Gk5
SPATA33	Spata33
SPATA32	Spata32
ATRN	Atrn
MANBA	Manba
CFAP45	Cfap45
ATRX	Atrx
CFAP44	Cfap44
CFAP43	Cfap43
GLA	Gla
CFAP47	Gm7173
SPATA2L	Spata2l
QRFPR	Qrfpr
SPATA20	Spata20
OR1J2	Olfr348
OR1J1	Olfr3
OR1J4	Olfr350
NR2E3	Nr2e3
NR2E1	Nr2e1
CTNNBL1	Ctnnbl1
NLRC5	Nlrc5
NLRC4	Nlrc4
NUDCD3	Nudcd3
NUDCD2	Nudcd2
NLRC3	Nlrc3
GALR1	Galr1
ATG5	Atg5
NUDCD1	Nudcd1
ATG7	Atg7
GALR3	Galr3
GALR2	Galr2
SPATA25	Spata25
SPATA21	Spata21
SPATA22	Spata22
NET1	Net1
SPATA24	Spata24
BCL10	Bcl10
B3GNTL1	B3gntl1
FADD	Fadd
RUBCN	Rubcn
SKOR1	Skor1
SKOR2	Skor2
SPATA18	Spata18
SPATA19	Spata19
SPATA16	Spata16
SPATA17	Spata17
NEU1	Neu1
NEU3	Neu3
NEU2	Neu2
SPATA13	Spata13
NEU4	Neu4
ARHGDIG	Arhgdig
TFE3	Tfe3
ST8SIA1	St8sia1
TFEB	Tfeb
ST8SIA3	St8sia3
ST8SIA2	St8sia2
NR2C2	Nr2c2
ATF1	Atf1
NR2C1	Nr2c1
EPM2AIP1	Epm2aip1
ATF2	Atf2
QSER1	Qser1
VRTN	Vrtn
TFEC	Tfec
SCN9A	Scn9a
TFF2	Tff2
MANEA	Manea
TFF3	Tff3
TFF1	Tff1
ARHGDIA	Arhgdia
ARHGDIB	Arhgdib
OR1I1	Olfr1357
SHPRH	Shprh
MEA1	Mea1
ATG3	Atg3
MPRIP	Mprip
HDAC5	Hdac5
ATF6	Atf6
HDAC4	Hdac4
ATF5	Atf5
HDAC3	Hdac3
ATF4	Atf4
HDAC2	Hdac2
ATF3	Atf3
HDAC1	Hdac1
ST8SIA6	St8sia6
FAAH	Faah
ST8SIA4	St8sia4
RGAG1	Rgag1
11-Sep	11-Sep
ST8SIA5	St8sia5
ATF7	Atf7
RGAG4	Rgag4
SCN8A	Scn8a
HDAC9	Hdac9
HDAC8	Hdac8
HDAC7	Hdac7
HDAC6	Hdac6
HINT3	Hint3
ATL2	Atl2
ATL1	Atl1
HP1BP3	Hp1bp3
HINT1	Hint1
LOC441617	Gm4980
ATL3	Atl3
HINT2	Hint2
OR1N2	Olfr354
OR1N1	Olfr351
ALS2CR12	Als2cr12
SCN7A	Scn7a
ALS2CR11	Als2cr11
ACAD8	Acad8
ACAD9	Acad9
IMPDH1	Impdh1
IMPDH2	Impdh2
ACADM	Acadm
ACADS	Acads
DIEXF	Diexf
GAN	Gan
NEXN	Nexn
GAL	Gal
ACADL	Acadl
GAK	Gak
SNRNP200	Snrnp200
GAA	Gaa
MAPRE2	Mapre2
MAPRE1	Mapre1
MAPRE3	Mapre3
UGP2	Ugp2
SLC7A6OS	Slc7a6os
OR1L8	Olfr355
OR1L6	Olfr365
WDYHV1	Wdyhv1
TFAM	Tfam
ATIC	Atic
MYZAP	Myzap
DCLK3	Dclk3
DCLK2	Dclk2
SCNN1G	Scnn1g
SCNN1B	Scnn1b
